    0.143953   10.195490    4.373879    4.373879   13.434194   13.439465   13.439465
    0.145822   10.291541    4.388620    4.388620   13.380533   13.436939   13.436939
    0.147692   10.386388    4.403015    4.403015   13.325979   13.434805   13.434805
    0.149562   10.480036    4.417030    4.417030   13.270530   13.433018   13.433018
    0.151431   10.572492    4.430628    4.430628   13.214187   13.431536   13.431536
    0.153301   10.663766    4.443773    4.443773   13.156949   13.430322   13.430322
    0.155170   10.753867    4.456426    4.456426   13.098816   13.429341   13.429341
    0.157040   10.842808    4.468548    4.468548   13.039790   13.428559   13.428559
    0.158909   10.930600    4.480101    4.480101   12.979873   13.427947   13.427947
    0.160779   11.017258    4.491047    4.491047   12.919065   13.427479   13.427479
    0.162648   11.102797    4.501348    4.501348   12.857370   13.427130   13.427130
    0.164518   11.187231    4.510970    4.510970   12.794788   13.426878   13.426878
    0.166387   11.270578    4.519877    4.519877   12.731320   13.426705   13.426705
    0.168257   11.352853    4.528039    4.528039   12.666968   13.426594   13.426594
    0.170126   11.434073    4.535425    4.535425   12.601732   13.426530   13.426530
    0.171996   11.514255    4.542008    4.542008   12.535612   13.426501   13.426501
    0.173865   11.593414    4.547765    4.547765   12.468605   13.426495   13.426495
    0.175735   11.671567    4.552673    4.552673   12.400710   13.426505   13.426505
    0.177604   11.748730    4.556714    4.556714   12.331924   13.426523   13.426523
    0.179474   11.824916    4.559873    4.559873   12.262241   13.426542   13.426542
    0.181343   11.900140    4.562138    4.562138   12.191657   13.426559   13.426559
    0.183213   11.974415    4.563500    4.563500   12.120163   13.426571   13.426571
    0.185082   12.047753    4.563955    4.563955   12.047753   13.426575   13.426575
