variables = x TATeff
0.00	300.00
0.50	300.00
1.50	300.00
2.50	300.00
3.50	300.00
4.50	300.00
5.50	300.00
6.50	300.00
7.50	300.00
8.50	300.00
9.50	300.00
10.50	300.00
11.50	300.00
12.50	300.10
13.50	300.10
14.50	300.10
15.50	300.10
16.50	300.10
17.50	300.20
18.50	300.20
19.50	300.20
20.50	300.20
21.50	300.20
22.50	300.20
23.50	300.30
24.50	300.30
25.50	300.30
26.50	300.30
27.50	300.30
28.50	300.30
29.50	300.40
30.50	300.40
31.50	300.40
32.50	300.40
33.50	300.50
34.50	300.50
35.50	300.50
36.50	300.50
37.50	300.50
38.50	300.50
39.50	300.60
40.50	300.60
41.50	300.60
42.50	300.60
43.50	300.60
44.50	300.70
45.50	300.70
46.50	300.70
47.50	300.70
48.50	300.70
49.50	300.70
50.50	300.80
51.50	300.80
52.50	300.80
53.50	300.80
54.50	300.80
55.50	300.90
56.50	300.90
57.50	300.90
58.50	300.90
59.50	300.90
60.50	301.00
61.50	301.00
62.50	301.00
63.50	301.00
64.50	301.00
65.50	301.00
66.50	301.10
67.50	301.10
68.50	301.10
69.50	301.10
70.50	301.10
71.50	301.10
72.50	301.20
73.50	301.20
74.50	301.20
75.50	301.20
76.50	301.20
77.50	301.20
78.50	301.30
79.50	301.30
80.50	301.30
81.50	301.30
82.50	301.30
83.50	301.30
84.50	301.30
85.50	301.30
86.50	301.40
87.50	301.40
88.50	301.40
89.50	301.40
90.50	301.40
91.50	301.40
92.50	301.50
93.50	301.50
94.50	301.50
95.50	301.50
96.50	301.50
97.50	301.50
98.50	301.50
99.50	301.60
100.50	301.60
101.50	301.60
102.50	301.60
103.50	301.60
104.50	301.60
105.50	301.70
106.50	301.70
107.50	301.70
108.50	301.70
109.50	301.70
110.50	301.70
111.50	301.70
112.50	301.70
113.50	301.80
114.50	301.80
115.50	301.80
116.50	301.80
117.50	301.90
118.50	301.90
119.50	301.90
120.50	301.90
121.50	301.90
122.50	301.90
123.50	302.00
124.50	302.00
125.50	302.00
126.50	302.00
127.50	302.00
128.50	302.10
129.50	302.10
130.50	302.10
131.50	302.10
132.50	302.10
133.50	302.10
134.50	302.10
135.50	302.10
136.50	302.10
137.50	302.10
138.50	302.20
139.50	302.20
140.50	302.20
141.50	302.20
142.50	302.20
143.50	302.20
144.50	302.20
145.50	302.20
146.50	302.20
147.50	302.20
148.50	302.20
149.50	302.30
150.50	302.30
151.50	302.30
152.50	302.30
153.50	302.30
154.50	302.30
155.50	302.30
156.50	302.30
157.50	302.30
158.50	302.30
159.50	302.30
160.50	302.30
161.50	302.30
162.50	302.30
163.50	302.30
164.50	302.30
165.50	302.30
166.50	302.30
167.50	302.40
168.50	302.40
169.50	302.40
170.50	302.40
171.50	302.40
172.50	302.40
173.50	302.40
174.50	302.50
175.50	302.50
176.50	302.60
177.50	302.70
178.50	302.70
179.50	302.80
180.50	302.80
181.50	302.90
182.50	303.00
183.50	303.20
184.50	303.20
185.50	303.60
186.50	303.60
187.50	303.70
188.50	303.80
189.50	303.90
190.50	303.90
191.50	303.80
192.50	303.70
193.50	303.70
194.50	303.70
195.50	303.60
196.50	303.60
197.50	303.60
198.50	303.60
199.50	303.50
200.50	303.50
201.50	303.50
202.50	303.50
203.50	303.40
204.50	303.40
205.50	303.30
206.50	303.30
207.50	303.30
208.50	303.20
209.50	303.20
210.50	303.20
211.50	303.20
212.50	303.20
213.50	303.20
214.50	303.20
215.50	303.20
216.50	303.20
217.50	303.10
218.50	303.10
219.50	303.10
220.50	303.10
221.50	303.10
222.50	303.00
223.50	303.00
224.50	303.00
225.50	303.00
226.50	302.90
227.50	302.90
228.50	302.90
229.50	302.80
230.50	302.80
231.50	302.80
232.50	302.80
233.50	302.70
234.50	302.70
235.50	302.70
236.50	302.70
237.50	302.70
238.50	302.60
239.50	302.60
240.50	302.60
241.50	302.90
242.50	302.80
243.50	302.80
244.50	302.80
245.50	302.80
246.50	302.70
247.50	302.70
248.50	302.70
249.50	302.60
250.50	302.60
251.50	302.60
252.50	302.50
253.50	302.50
254.50	302.50
255.50	302.50
256.50	302.40
257.50	302.40
258.50	302.40
259.50	302.40
260.50	302.30
261.50	302.30
262.50	302.30
263.50	302.30
264.50	302.30
265.50	302.30
266.50	302.20
267.50	302.20
268.50	302.30
269.50	302.30
270.50	302.30
271.50	302.30
272.50	302.20
273.50	302.20
274.50	302.20
275.50	302.10
276.50	302.10
277.50	302.10
278.50	302.00
279.50	302.00
280.50	302.00
281.50	302.00
282.50	301.90
283.50	301.90
284.50	301.90
285.50	301.90
286.50	301.90
287.50	301.80
288.50	301.80
289.50	301.80
290.50	301.70
291.50	301.70
292.50	301.70
293.50	301.70
294.50	301.60
295.50	301.60
296.50	301.60
297.50	301.50
298.50	301.50
299.50	301.50
300.50	301.50
301.50	301.40
302.50	301.40
303.50	301.40
304.50	301.40
305.50	301.30
306.50	301.30
307.50	301.30
308.50	301.30
309.50	301.20
310.50	301.20
311.50	301.20
312.50	301.10
313.50	301.10
314.50	301.10
315.50	301.10
316.50	301.10
317.50	301.00
318.50	301.00
319.50	300.90
320.00	300.00
