0.001 0 1e+17
0.001 0.005 1e+17
0.001 0.01 1e+17
0.001 0.015 1e+17
0.001 0.02 1e+17
0.001 0.025 1e+17
0.001 0.03 1e+17
0.001 0.035 1e+17
0.001 0.04 1e+17
0.001 0.045 1e+17
0.001 0.05 1e+17
0.001 0.055 1e+17
0.001 0.06 1e+17
0.001 0.065 1e+17
0.001 0.07 1e+17
0.001 0.075 1e+17
0.001 0.08 1e+17
0.001 0.085 1e+17
0.001 0.09 1e+17
0.001 0.095 1e+17
0.001 0.1 1e+17
0.00596667 0 9.9119e+16
0.00596667 0.005 9.9119e+16
0.00596667 0.01 9.9119e+16
0.00596667 0.015 9.9119e+16
0.00596667 0.02 9.9119e+16
0.00596667 0.025 9.9119e+16
0.00596667 0.03 9.9119e+16
0.00596667 0.035 9.9119e+16
0.00596667 0.04 9.9119e+16
0.00596667 0.045 9.9119e+16
0.00596667 0.05 9.9119e+16
0.00596667 0.055 9.9119e+16
0.00596667 0.06 9.9119e+16
0.00596667 0.065 9.9119e+16
0.00596667 0.07 9.9119e+16
0.00596667 0.075 9.9119e+16
0.00596667 0.08 9.9119e+16
0.00596667 0.085 9.9119e+16
0.00596667 0.09 9.9119e+16
0.00596667 0.095 9.9119e+16
0.00596667 0.1 9.9119e+16
0.0109333 0 1.02131e+17
0.0109333 0.005 1.02131e+17
0.0109333 0.01 1.02131e+17
0.0109333 0.015 1.02131e+17
0.0109333 0.02 1.02131e+17
0.0109333 0.025 1.02131e+17
0.0109333 0.03 1.02131e+17
0.0109333 0.035 1.02131e+17
0.0109333 0.04 1.02131e+17
0.0109333 0.045 1.02131e+17
0.0109333 0.05 1.02131e+17
0.0109333 0.055 1.02131e+17
0.0109333 0.06 1.02131e+17
0.0109333 0.065 1.02131e+17
0.0109333 0.07 1.02131e+17
0.0109333 0.075 1.02131e+17
0.0109333 0.08 1.02131e+17
0.0109333 0.085 1.02131e+17
0.0109333 0.09 1.02131e+17
0.0109333 0.095 1.02131e+17
0.0109333 0.1 1.02131e+17
0.0159 0 1.05353e+17
0.0159 0.005 1.05353e+17
0.0159 0.01 1.05353e+17
0.0159 0.015 1.05353e+17
0.0159 0.02 1.05353e+17
0.0159 0.025 1.05353e+17
0.0159 0.03 1.05353e+17
0.0159 0.035 1.05353e+17
0.0159 0.04 1.05353e+17
0.0159 0.045 1.05353e+17
0.0159 0.05 1.05353e+17
0.0159 0.055 1.05353e+17
0.0159 0.06 1.05353e+17
0.0159 0.065 1.05353e+17
0.0159 0.07 1.05353e+17
0.0159 0.075 1.05353e+17
0.0159 0.08 1.05353e+17
0.0159 0.085 1.05353e+17
0.0159 0.09 1.05353e+17
0.0159 0.095 1.05353e+17
0.0159 0.1 1.05353e+17
0.0208667 0 1.0838e+17
0.0208667 0.005 1.0838e+17
0.0208667 0.01 1.0838e+17
0.0208667 0.015 1.0838e+17
0.0208667 0.02 1.0838e+17
0.0208667 0.025 1.0838e+17
0.0208667 0.03 1.0838e+17
0.0208667 0.035 1.0838e+17
0.0208667 0.04 1.0838e+17
0.0208667 0.045 1.0838e+17
0.0208667 0.05 1.0838e+17
0.0208667 0.055 1.0838e+17
0.0208667 0.06 1.0838e+17
0.0208667 0.065 1.0838e+17
0.0208667 0.07 1.0838e+17
0.0208667 0.075 1.0838e+17
0.0208667 0.08 1.0838e+17
0.0208667 0.085 1.0838e+17
0.0208667 0.09 1.0838e+17
0.0208667 0.095 1.0838e+17
0.0208667 0.1 1.0838e+17
0.0258333 0 1.11137e+17
0.0258333 0.005 1.11137e+17
0.0258333 0.01 1.11137e+17
0.0258333 0.015 1.11137e+17
0.0258333 0.02 1.11137e+17
0.0258333 0.025 1.11137e+17
0.0258333 0.03 1.11137e+17
0.0258333 0.035 1.11137e+17
0.0258333 0.04 1.11137e+17
0.0258333 0.045 1.11137e+17
0.0258333 0.05 1.11137e+17
0.0258333 0.055 1.11137e+17
0.0258333 0.06 1.11137e+17
0.0258333 0.065 1.11137e+17
0.0258333 0.07 1.11137e+17
0.0258333 0.075 1.11137e+17
0.0258333 0.08 1.11137e+17
0.0258333 0.085 1.11137e+17
0.0258333 0.09 1.11137e+17
0.0258333 0.095 1.11137e+17
